track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,7M842DMhYVALrXsw3ty7B3,175238,2022-08-26,96,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
2prnn41CblB8B4yWACDljP,Love Tonight - David Guetta Remix Edit,2TcGJdSOiOvITBzhvfX8XB,Shouse,2HYufzr6XUqSurRZdY0D9w,158095,2021-06-11,81,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
6GomT970rCOkKAyyrwJeZi,Move Your Body,37czgDRfGMvgRiUKHvnnhj,Öwnboss,4l9wMVL4XAM5jPMXP5RAbL,157444,2021-10-29,83,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
6ho0GyrWZN3mhi9zVRW7xi,Losing It,1VJ0briNOlXRtJUAzoUJdt,FISHER,143cxYCazoiNfviHRmxkdv,248035,2018-07-13,76,0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
20on25jryn53hWghthWWW3,Do It To It,4pnp4w9g30yLfVIAFnZMRd,ACRAZE,58cd90Jkrovggh556JPN9L,157890,2021-08-20,85,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
7fZBQnc0zXwVybgCIrQQil,Belly Dancer,5rGrDvrLOV2VV8SCFVGWlj,Imanbek,2npvQTpyjLtapBWTNTNlqn,151475,2022-02-18,88,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
6ozdSeARbPqVWRZkQ3RcJJ,Pepas - Tiësto Remix,329e4yvIujISKGKz1BZZbO,Farruko,2xRv34ZY4d7b2G0cbHoxSF,223384,2021-10-29,57,0.769,0.688,7,-4.378,1,0.0501,0.00215,0.107,0.088,0.387,130.026,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,1c79SozES9Eb3Lzf9KVaIa,184560,2018-06-08,79,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
6iW38RGqdDGOofmz2HeXLW,Piece Of Your Heart - Alok Remix,0xRXCcSX89eobfrshSVdyu,MEDUZA,6RlifxGX8F3IijsJXkTIlq,166451,2019-06-07,75,0.797,0.86,10,-4.38,0,0.0413,0.0312,0.0137,0.334,0.192,124.033,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
5bPqRhk8gy5fSXGbEMo5ew,"Weekend (Party, Sleep, Repeat) (LIZOT Remix)",7AgS2ycsLUG0NPTY1AAboT,Mark Mendy,3UKAGlIcJ6uUIdNu9RpM1V,139200,2022-09-01,60,0.788,0.895,11,-4.858,0,0.11,0.0225,0.0,0.249,0.848,124.972,3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS
